Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
1986,1.4709598,0.0002999256,-31.950409,0.9026599547101392,0.902659745434903,104.70138888888889,498.11926,0.03770708
3986,1.4144201,0.00029977612,-20.179348,0.8615744209818301,0.8615742147598798,105.03225806451613,116.54829,0.032326587
5986,1.3475615,0.00029962612,-12.608095,0.8337653207048874,0.833765119666858,106.33557046979865,27.295626,0.033227973
7986,1.3549383,0.0002994761,-7.9608417,0.8280182093437901,0.8280180595322605,111.74436090225564,10.390254,0.034329794
9986,1.3397967,0.00029932612,-5.592053,1.0787247144114687,1.0787245493128519,139.1320754716981,5.9782767,0.031333502
11986,1.3040273,0.00029917608,-4.761884,1.8194820461274144,1.8194817246130952,211.54929577464787,4.493227,0.033576462
13986,1.3287785,0.00029902608,-3.7207203,2.6942155909294017,2.6942151476884972,282.1132075471698,2.5824127,0.034191154
15986,1.3309122,0.0002988761,-2.5573232,2.9177438750613267,2.917743394730739,293.0,1.4817065,0.03452455
17986,1.2988266,0.00029872608,-1.9860352,2.9449464093158277,2.94494583263206,273.77966101694915,0.760853,0.036691118
19986,1.251601,0.0002985761,-1.0577216,2.07488936620454,2.074888939173737,221.83333333333334,0.38099328,0.038249362
21986,1.1993855,0.00029842608,-0.23112056,2.4143379180086413,2.414337548357935,255.15625,0.17318395,0.03086169
23986,1.0815996,0.0002982761,0.13773377,2.699172441731207,2.6991719440686666,245.140625,0.15509547,0.03221642
25986,1.2091831,0.0002981261,0.36861786,1.9796850426638952,1.9796846654017617,196.94871794871796,0.089115076,0.032036137
27986,1.1795253,0.0002979761,0.5830373,3.1844969464714437,3.184496367727223,307.22222222222223,0.09983877,0.033434637
29986,1.0391078,0.0002978261,0.6459692,2.3788534446229117,2.378853001136603,222.38235294117646,0.112409614,0.0310701
31986,0.9623199,0.00029767607,0.49576452,1.9330934150500472,1.9330930697033182,176.97674418604652,0.07864783,0.032806803
33986,0.98896074,0.00029752613,0.56046426,2.480241705177297,2.480241237206107,230.08823529411765,0.0873279,0.034842312
35986,1.0089662,0.0002973761,0.5311726,2.0698395328313226,2.0698391306709136,201.71264367816093,0.07724064,0.030091489
37986,0.9825802,0.0002972261,0.5001013,1.9103472869418845,1.9103468856921633,194.34177215189874,0.06508483,0.030551504
39986,1.0029525,0.0002970761,0.8066218,2.5872922766969473,2.5872917321133477,260.1666666666667,0.07691813,0.03242342
41986,1.0019504,0.00029692607,0.785251,2.281147276549204,2.2811468652292572,210.4255319148936,0.10585246,0.03650419
