Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.1031647,0.00029992504,0.0,-7.9305243,0.9916618241127148,0.9916616534800025,91.04651162790698,141.36613,0.035367996
4000,0.9834651,0.00029977507,0.0,-6.6098056,0.9708778955255236,0.9708777399671297,88.46857142857142,39.20319,0.03182313
6000,0.9483435,0.00029962504,0.0,-4.4110255,0.9774231311402034,0.9774229768450535,88.29508196721312,8.8238535,0.032500476
8000,1.081293,0.00029947504,0.0,-2.4291468,1.058201440080766,1.058201255347059,95.43558282208589,1.7974967,0.031939913
10000,1.0466805,0.00029932504,0.0,-1.2011304,1.1555591910984946,1.1555590317559266,97.8944099378882,0.6941088,0.035315823
12000,0.9419774,0.00029917504,0.0,-0.2826317,1.190816892749773,1.1908166925248411,100.2948717948718,0.28229198,0.030366711
14000,0.88577724,0.00029902507,0.0,0.2498633,1.356979950677251,1.3569797567953985,106.8445945945946,0.16319187,0.032981273
16000,0.8355124,0.00029887503,0.0,0.40485507,1.3652185405224142,1.3652183379729739,110.34507042253522,0.09651669,0.031116676
18000,0.901785,0.00029872506,0.0,0.4351311,1.399606995221202,1.3996068273739672,110.61904761904762,0.086644605,0.0355531
20000,0.9466083,0.00029857503,0.0,0.41206786,1.7324941447293183,1.7324939413425138,132.7913043478261,0.11223635,0.035308562
22000,0.9874292,0.00029842506,0.0,0.49357322,1.6775721318872456,1.6775719038279249,127.4296875,0.10661712,0.034666836
24000,0.9961192,0.00029827506,0.0,0.63452417,1.4020555690921686,1.4020553469694639,113.62411347517731,0.08558193,0.030650739
26000,1.092249,0.00029812503,0.0,0.5800239,1.2531411724623907,1.2531409668062279,103.30201342281879,0.07317792,0.034601822
28000,1.0939802,0.00029797506,0.0,0.5963721,1.3323894964043526,1.3323892916908415,109.69127516778524,0.079950236,0.031594966
30000,1.1182686,0.00029782503,0.0,0.4668054,1.0852115386833419,1.0852113481884296,95.90566037735849,0.050035827,0.032089405
32000,1.0722508,0.00029767508,0.0,0.3723482,1.1496051152399598,1.1496049356086184,98.51533742331289,0.057211746,0.032909404
34000,1.1213235,0.00029752505,0.0,0.5136934,1.1456742774591677,1.1456741016098717,98.69135802469135,0.07099358,0.03295626
36000,1.1001585,0.00029737505,0.0,0.5270255,1.0426688979980143,1.0426687025816597,93.8433734939759,0.046056043,0.034733947
38000,1.1224482,0.00029722505,0.0,0.44965306,1.152875799254128,1.152875636794683,98.34146341463415,0.054265793,0.033483505
40000,1.0758343,0.00029707502,0.0,0.4898282,1.0630900187774779,1.0630898480777613,94.68263473053892,0.07221179,0.031831264
42000,1.079437,0.00029692508,0.0,0.3726467,0.9918104784829276,0.991810311685466,89.51428571428572,0.09716781,0.03411233
44000,1.1224344,0.00029677505,0.0,0.37806156,1.0956446633208543,1.0956444715245457,95.79012345679013,0.037435077,0.0362788
46000,1.1689765,0.00029662508,0.0,0.15154195,1.1509632972561439,1.1509630864281815,101.77070063694268,0.07889122,0.033351853
48000,1.1144956,0.00029647505,0.0,0.17108263,1.1531077171559445,1.1531075286199666,100.0,0.06753241,0.0347913
50000,1.0914147,0.00029632504,0.0,0.27309683,1.08137837518571,1.0813782089618282,96.08484848484848,0.0599257,0.03171877
52000,1.0706549,0.00029617507,0.0,0.58338356,1.0886792243913932,1.0886790404372193,96.6604938271605,0.07823479,0.033307835
54000,1.1980056,0.00029602504,0.0,0.5880443,1.148220359690417,1.148220154924652,98.44025157232704,0.06961718,0.036529962
56000,1.202458,0.00029587507,0.0,0.45317462,1.1846079267203236,1.1846077230014391,102.49358974358974,0.04954376,0.029504267
58000,1.2412688,0.00029572504,0.0,0.71493757,1.1631831535181079,1.1631829236668731,101.75,0.09423744,0.036206834
