Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
6000,1.5647844,0.00026700302,-5.9352355,28.999806500738487,28.99980154680088,4922.0
7000,1.5684956,0.000261003,-5.7323337,None,None,None
8000,1.5603523,0.00025500305,-8.223236,None,None,None
9000,1.5641189,0.00024900303,-8.312534,None,None,None
10000,1.5631605,0.00024300304,-7.282118,None,None,None
11000,1.5133842,0.00023700304,-6.2007303,-25.999997318605892,-25.999999790205038,4922.0
12000,1.5127816,0.00023100304,-6.3853693,None,None,None
13000,1.5018923,0.00022500305,-9.404727,None,None,None
14000,1.5074236,0.00021900305,-7.4894443,None,None,None
15000,1.5055535,0.00021300303,-7.6859484,None,None,None
16000,1.506077,0.00020700306,-6.288466,-1.9999923118157312,-1.999999015344656,4922.0
17000,1.5003358,0.00020100304,-8.771211,None,None,None
18000,1.4992623,0.00019500304,-11.092841,None,None,None
19000,1.5024067,0.00018900307,-7.829652,None,None,None
20000,1.5022713,0.00018300307,-7.1730676,None,None,None
21000,1.5512478,0.00017700305,-5.286872,28.000003473018296,28.00000162674405,4922.0
22000,1.5560576,0.00017100308,-5.752228,None,None,None
23000,1.5354793,0.00016500306,-7.78394,None,None,None
24000,1.538581,0.00015900306,-7.567906,None,None,None
25000,1.5368663,0.00015300307,-7.6210566,None,None,None
26000,1.5579356,0.00014700307,-5.0983872,-22.000001176143996,-21.99999995616963,4922.0
27000,1.5559471,0.00014100307,-5.1412277,None,None,None
28000,1.5418953,0.00013500307,-7.0547767,None,None,None
29000,1.52976,0.00012900308,-8.255008,None,None,None
30000,1.5396158,0.00012300308,-7.69922,None,None,None
31000,1.561447,0.000117003074,-5.227974,12.000009480980225,12.000001268403139,4922.0
32000,1.5433557,0.00011100308,-5.038145,None,None,None
33000,1.5196694,0.000105003084,-6.6508765,None,None,None
34000,1.5143436,9.9003075e-05,-7.1005783,None,None,None
35000,1.5217246,9.300308e-05,-6.6193295,None,None,None
36000,1.5095867,8.700309e-05,-5.431247,51.00001547962893,51.00000258719956,4922.0
37000,1.5061904,8.100308e-05,-5.4971313,None,None,None
38000,1.487113,7.500309e-05,-8.35074,None,None,None
39000,1.4883176,6.9003094e-05,-7.9032154,None,None,None
40000,1.4978776,6.300309e-05,-6.6354504,None,None,None
41000,1.5152547,5.700309e-05,-5.3420544,49.000011452590115,49.00000268606527,4922.0
42000,1.5142783,5.100309e-05,-5.161577,None,None,None
43000,1.4859377,4.5003093e-05,-6.709959,None,None,None
44000,1.4783216,3.90031e-05,-7.6675,None,None,None
45000,1.4886258,3.30031e-05,-6.9006433,None,None,None
46000,1.5291272,2.7003098e-05,-5.269775,25.000004180823453,25.000001725609764,4922.0
47000,1.5294132,2.1003103e-05,-4.8980722,None,None,None
48000,1.5008775,1.5003103e-05,-6.7940464,None,None,None
49000,1.4922147,9.003104e-06,-7.167638,None,None,None
50000,1.5029355,3.003107e-06,-6.777769,None,None,None
