Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.701372,0.00029700148,-1.0941163,0.40263157886894124,0.4026315784768054,101.51973684210526,0.5091272,0.06763647
4000,1.4465946,0.00029100152,-0.064802684,-0.010606060764103226,-0.010606060764103226,80.43434343434343,0.00088087475,0.0689357
6000,1.3775249,0.00028500153,0.0033408555,-0.001530612267705859,-0.001530612267705859,80.35714285714286,0.0003000495,0.070445895
8000,1.2842637,0.00027900154,-0.0015645744,0.0,0.0,80.82233502538071,0.0002438316,0.06865548
10000,1.3271213,0.00027300153,0.0055434355,0.0,0.0,80.46153846153847,0.00029218648,0.06753563
12000,1.413993,0.0002670015,0.0014705788,0.0,0.0,80.71428571428571,0.00041565578,0.07144502
14000,1.4062681,0.00026100152,0.059397813,0.06857142857142857,0.06857142857142857,84.70857142857143,0.03436833,0.070268825
16000,1.3496367,0.00025500153,0.52706873,2.4651162790697674,2.4651162790697674,178.3139534883721,0.114702426,0.06944543
18000,1.1125407,0.00024900152,0.89767283,4.590163934426229,4.590163934426229,264.8196721311475,0.15845272,0.06744277
20000,1.0229828,0.00024300153,1.3509555,7.934285712242127,7.93428571415799,395.34285714285716,0.17936249,0.07238727
22000,0.9287567,0.00023700154,1.8043675,18.378571416650498,18.37857142782637,797.5,0.18976757,0.06953786
24000,0.92978454,0.00023100156,1.7337968,31.0,31.0,1316.6666666666667,0.16826546,0.07192479
26000,0.8028429,0.00022500154,1.9194709,50.57999994754791,50.579999996721746,2220.8,0.17319427,0.066923566
28000,0.8867051,0.00021900155,1.7663858,53.11666667461395,53.116666665921606,2913.8333333333335,0.13666998,0.06562455
30000,0.82175803,0.00021300155,1.9102525,87.39999997615814,87.39999999602635,6801.0,0.15763643,0.07018947
32000,0.7125868,0.00020700155,2.0358498,116.0,116.0,5031.0,0.18141393,0.07169175
34000,0.72538674,0.00020100156,1.8958598,94.45999999046326,94.45999999791384,4849.0,0.1212516,0.06890236
36000,0.6535049,0.00019500156,1.9296837,53.21666665871938,53.2166666649282,2874.1666666666665,0.16595317,0.07271858
38000,0.65113926,0.00018900156,1.7086687,44.666666666666664,44.666666666666664,2075.0,0.14908524,0.068694115
40000,0.6415262,0.00018300157,1.7408961,None,None,None,0.15106669,0.0692132
42000,0.5818496,0.00017700157,1.606241,92.0,92.0,6837.666666666667,0.12082321,0.06679941
44000,0.6110624,0.00017100156,1.5359218,86.8,86.8,4044.2,0.15209064,0.06633892
46000,0.70482665,0.00016500158,1.6736102,90.5,90.5,5010.25,0.12879412,0.0635298
48000,0.7046492,0.00015900156,1.8219134,57.6,57.6,2777.2,0.1598016,0.071790785
50000,0.6744409,0.00015300157,1.9360206,42.77777777777778,42.77777777777778,2063.4444444444443,0.16871762,0.06973961
52000,0.65014505,0.00014700157,1.9402983,None,None,None,0.1454637,0.074010745
54000,0.7082631,0.00014100157,2.026204,102.94999998807907,102.94999999925494,5290.333333333333,0.15989755,0.069335975
56000,0.7021127,0.00013500158,1.9452263,42.0,42.0,1619.0,0.13905698,0.06915793
58000,0.7831621,0.00012900158,1.871707,87.34285712242126,87.3428571415799,4442.857142857143,0.13530049,0.06846423
60000,0.88229877,0.00012300158,1.8344419,40.98888888623979,40.988888888723324,1889.3333333333333,0.17003015,0.07081665
62000,0.9323782,0.000117001575,2.0084436,67.0,67.0,3193.1666666666665,0.15427051,0.069368005
64000,0.92155236,0.00011100158,2.0221772,31.5,31.5,1435.8333333333333,0.13908291,0.06869214
66000,0.8599037,0.000105001585,1.8227968,None,None,None,0.14290299,0.06952535
68000,0.83031297,9.900158e-05,1.4880104,118.33333333333333,118.33333333333333,7938.0,0.122982465,0.07005528
70000,0.8474884,9.300158e-05,1.6918893,81.33333333333333,81.33333333333333,4454.666666666667,0.1456349,0.0696705
72000,0.9042179,8.7001594e-05,1.7318417,115.4,115.4,6122.0,0.13072571,0.0649961
74000,0.86575454,8.1001584e-05,1.8759978,None,None,None,0.14470899,0.065516636
76000,0.8241765,7.500159e-05,1.7423507,68.0,68.0,2971.0,0.13318025,0.06681537
78000,0.8774847,6.9001595e-05,1.7149634,152.19999996821085,152.19999999801317,7938.0,0.11283924,0.06529838
80000,0.90050477,6.3001586e-05,1.7075677,115.2,115.2,6519.2,0.14240494,0.06831281
82000,0.8279043,5.700159e-05,1.7507958,119.0,119.0,6921.0,0.13971747,0.066911764
84000,0.7461007,5.100159e-05,1.6646023,124.0,124.0,7086.5,0.12876049,0.06603031
86000,0.7966733,4.5001594e-05,1.6590089,116.63333332538605,116.63333333283663,6316.0,0.14894573,0.06755229
88000,0.706238,3.9001596e-05,1.6995655,134.44999998807907,134.44999999925494,7938.0,0.14672558,0.06450343
90000,0.77040154,3.3001597e-05,1.6251359,112.0,112.0,5619.0,0.11135,0.069125965
92000,0.75641775,2.70016e-05,1.6186116,85.63333332538605,85.63333333283663,4531.666666666667,0.15057851,0.06789138
94000,0.764313,2.1001604e-05,1.6758584,124.5,124.5,7938.0,0.16502504,0.06921017
96000,0.7582411,1.5001603e-05,1.7226523,151.0,151.0,7938.0,0.12179296,0.06480805
98000,0.75423825,9.001606e-06,1.6366378,93.97499999403954,93.97499999962747,5612.75,0.13255887,0.06544481
100000,0.7983888,3.0016067e-06,1.7028761,109.97499999403954,109.97499999962747,5927.5,0.13868935,0.071727894
