Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.597086,0.00029997004,-10.32371,0.4356409150820512,0.4356409974205188,280.15384615384613,4.323955,0.06831719
4000,1.6451442,0.00029991,-7.121235,0.27673460832055735,0.2767346750336642,290.2857142857143,1.9591844,0.069979295
6000,1.5974864,0.00029985,-4.237267,0.17421044997478785,0.17421051080485708,296.5263157894737,0.6392466,0.07127314
8000,1.5778935,0.00029979003,-1.761868,0.41299990080296994,0.4129999788943678,315.725,0.12944078,0.067914814
10000,1.5661137,0.00029973005,-0.49775,1.6885414843757947,1.6885416271397844,436.6666666666667,0.02807632,0.06696945
12000,1.451948,0.00029967004,-0.12451314,1.1846806392707723,1.184680801519054,433.82978723404256,0.019138675,0.07136635
14000,1.3446625,0.00029961002,0.16346663,1.9523401209648619,1.9523403643769153,332.5531914893617,0.025281766,0.06818033
16000,1.2553682,0.00029955004,0.17519699,1.3823074325919151,1.3823076363724585,259.03846153846155,0.03033287,0.06906783
18000,1.2004316,0.00029949,0.43895727,3.4965849068106674,3.496585270617066,507.9024390243902,0.03282854,0.06568478
20000,1.1859103,0.00029943002,0.31069547,2.1579242410524837,2.1579244595794185,311.52830188679246,0.039392605,0.068013914
22000,0.98311186,0.00029937003,0.26091376,2.0766663633140863,2.076666598482167,294.4117647058824,0.039911848,0.06675197
24000,0.9509454,0.00029931002,0.5011705,2.221080762308997,2.22108100827884,306.86486486486484,0.029582938,0.067332864
26000,0.8974537,0.00029925004,0.63521975,2.73433297475179,2.734333252099653,340.8333333333333,0.033285517,0.07269074
28000,0.8572066,0.00029919003,0.57187605,2.2268746541813016,2.226874928805046,302.8125,0.02452265,0.072535336
30000,0.77912074,0.00029913,0.53135914,5.917999351024628,5.917999842995778,716.225,0.023554543,0.06786624
32000,0.82765305,0.00029907,0.51954514,2.6116213154148413,2.611621541902423,319.6216216216216,0.031538635,0.0680072
34000,0.82475454,0.00029901005,0.7297182,5.072726774396318,5.0727271415067445,557.3030303030303,0.037771203,0.0690752
36000,0.7893455,0.00029895,0.62314767,4.6466661459869805,4.646666544179122,520.8055555555555,0.03413228,0.07027532
38000,0.8838929,0.00029889002,0.522981,2.1356859604517617,2.135686204750456,278.921568627451,0.0478931,0.07042149
40000,0.8141475,0.00029883004,0.5070994,2.766249630600214,2.7662499183323233,321.975,0.040225174,0.06908664
42000,0.78995156,0.00029877,0.64949554,5.065121428995598,5.06512182028737,565.8048780487804,0.039573625,0.07005346
44000,0.67537206,0.00029871002,0.4940802,3.1671049641935447,3.1671051723196317,350.5,0.043137327,0.06988754
46000,0.6465961,0.00029865003,0.47648436,3.835757208592964,3.8357574750641077,385.42424242424244,0.042028554,0.06778203
48000,0.57373506,0.00029859002,0.67631,3.9002124115507653,3.9002126615415227,404.0425531914894,0.061128624,0.07064029
50000,0.6753311,0.00029853004,0.5840962,3.3194733732625057,3.3194735914860902,359.1578947368421,0.038300842,0.06923939
52000,0.8098121,0.00029847003,0.49410167,2.727179175768143,2.7271794074047833,296.35897435897436,0.03409102,0.070392415
54000,0.7226893,0.00029841,0.6381862,5.983999624848366,5.983999844950934,638.2333333333333,0.031639207,0.06765457
56000,0.7631676,0.00029835,0.72849894,3.925999649365743,3.925999895359079,388.3,0.041423615,0.06612155
58000,0.8087455,0.00029829002,0.4255339,4.031785426129188,4.031785598823002,469.875,0.036326144,0.06494776
60000,0.7406108,0.00029823004,0.35950005,3.443589441287212,3.4435896438379316,378.56410256410254,0.038328975,0.06626766
62000,0.6633193,0.00029817002,0.6248619,4.708461241080211,4.708461421040388,439.65384615384613,0.044266485,0.067140415
64000,0.6936558,0.00029811004,0.7154614,3.9077774440800703,3.9077776771866612,384.3703703703704,0.03228388,0.06662796
66000,0.73135495,0.00029805003,0.72296625,6.2308330076436205,6.2308331776876,620.7083333333334,0.026426744,0.068863645
68000,0.9636264,0.00029799002,0.81294876,8.81833283106486,8.818333123086227,892.8888888888889,0.024340736,0.06764747
70000,0.85970247,0.00029793,0.6437079,3.8424238689018018,3.842424136445378,437.969696969697,0.034977965,0.06835571
72000,0.91249216,0.00029787005,0.5095854,5.482367923385219,5.482368282140477,573.921052631579,0.039300416,0.06633793
74000,0.8323997,0.00029781,0.5117775,5.003094754758335,5.003095108040032,544.0714285714286,0.038528018,0.06568165
76000,0.9047782,0.00029775003,0.38363612,2.4397996819019316,2.4397999275103213,318.76,0.03911799,0.06524221
78000,0.9947789,0.00029769004,0.29013038,1.8936535979692752,1.893653791003789,306.7692307692308,0.034452945,0.06583581
80000,0.8699279,0.00029763,0.14942704,1.5426920795669923,1.5426922558735197,275.6730769230769,0.031956743,0.07262492
82000,0.8951815,0.00029757002,0.34142017,2.872592299072831,2.872592518933945,350.2962962962963,0.025580112,0.06685901
84000,0.89609444,0.00029751004,0.34385693,2.6113633554090154,2.6113635605539787,341.09090909090907,0.031087738,0.07274096
86000,0.87629396,0.00029745002,0.5708888,2.3017644338748036,2.3017646356431,318.8529411764706,0.029557716,0.067850605
88000,0.8379548,0.00029739,0.44670627,3.7599997374605625,3.759999894279432,457.6595744680851,0.031548277,0.06937024
90000,0.8692179,0.00029733003,0.5803529,4.716341104449295,4.716341341277811,550.4878048780488,0.035428915,0.06986547
92000,0.8822733,0.00029727002,0.59721786,2.5054051312240393,2.5054053351585126,328.9189189189189,0.030924229,0.06912777
94000,0.8471462,0.00029721,0.6480188,3.7687496822327375,3.7687498961458914,441.84375,0.02916131,0.068623185
96000,0.9491308,0.00029715002,0.6970208,3.4244996324181556,3.424499909207225,371.85,0.028492484,0.06977097
98000,0.9566882,0.00029709,0.5836476,4.730277290774716,4.730277649644348,581.3611111111111,0.02155203,0.06727337
100000,0.8656304,0.00029703003,0.5997266,2.7375754154089726,2.737575674373092,337.54545454545456,0.02098712,0.06714061
102000,1.051544,0.00029697004,0.40992066,5.742432047386427,5.742432284143728,682.3513513513514,0.022236006,0.06868032
104000,1.0285058,0.00029691003,0.504525,2.928107772324536,2.928108022623771,377.02702702702703,0.024702357,0.06897086
106000,1.0054721,0.00029685002,0.36812758,3.874467689306178,3.874467977263192,478.29787234042556,0.027121548,0.06643156
108000,0.9413015,0.00029679,0.36642322,2.210454264147715,2.2104544711129908,303.22727272727275,0.032261223,0.06933618
110000,0.9889435,0.00029673005,0.31139442,2.7370905908671292,2.7370908252556214,348.1818181818182,0.032641154,0.0662678
112000,0.98356557,0.00029667,0.29029018,2.224599676430225,2.224599926434457,300.46,0.03483093,0.07415931
114000,0.9741552,0.00029661,0.4236516,2.473829472952701,2.473829710816449,314.0425531914894,0.03286608,0.06994104
116000,1.0094874,0.00029655005,0.33777174,2.1363790256196054,2.136379241140495,294.1896551724138,0.03073189,0.065859586
118000,1.071596,0.00029649,0.35512504,2.210784004015081,2.210784243383244,305.01960784313724,0.031396765,0.0729135
120000,0.9977046,0.00029643002,0.45282483,2.3248834069385085,2.324883647782858,333.09302325581393,0.025776112,0.063545644
122000,1.0321772,0.00029637004,0.29659078,2.3921565758247003,2.3921567898097575,339.19607843137254,0.035605997,0.066248894
124000,1.05079,0.00029631003,0.2446029,2.4879588728048363,2.4879591111854023,342.9591836734694,0.029866874,0.066341296
126000,0.987566,0.00029625001,0.32976153,2.1634880657805953,2.1634883024664813,304.8139534883721,0.028188625,0.06429037
128000,0.94586086,0.00029619003,0.4346459,3.92658490233305,3.926585260460653,454.390243902439,0.03358909,0.06815682
130000,0.97965294,0.00029613002,0.5188683,2.872194781536009,2.872195039580508,355.3414634146341,0.03348118,0.07093397
132000,0.95321923,0.00029607,0.51119506,2.261489061599082,2.2614892919329885,300.8510638297872,0.037990175,0.070932515
134000,0.970588,0.00029601002,0.5961096,1.9034372474998236,1.9034374362090603,281.25,0.034865156,0.0650645
136000,0.9527425,0.00029595,0.73863566,3.5066662579774857,3.506666571367532,463.125,0.02775788,0.069828786
138000,0.8641066,0.00029589003,0.5741298,5.313870476138208,5.313870851130735,488.35483870967744,0.018157626,0.06663684
140000,0.8829148,0.00029583005,0.63337564,2.3916663825511932,2.391666593030095,326.3888888888889,0.020153118,0.06963444
142000,0.906191,0.00029577,0.484479,5.765999636054039,5.765999854449182,673.85,0.022556547,0.0661085
144000,0.86746526,0.00029571002,0.43923464,4.257441547720931,4.257441745161317,514.1162790697674,0.02430165,0.066385016
146000,0.8810337,0.00029565,0.3030322,3.652115111740736,3.652115282244407,455.88461538461536,0.026902784,0.06775346
148000,0.9781774,0.00029559006,0.379874,2.3067497089505196,2.306749929022044,312.35,0.029287264,0.06578739
150000,1.0637761,0.00029553002,0.356032,2.006938493373443,2.006938707805714,300.53061224489795,0.03552364,0.06973189
152000,1.0581629,0.00029547,0.30840757,1.827233725405754,1.8272339772591566,288.1914893617021,0.02605348,0.070037134
154000,1.0180224,0.00029541005,0.40884584,3.3294113342668497,3.3294116695429765,440.078431372549,0.029596478,0.070871964
156000,0.91906285,0.00029535,0.29682055,1.6411108424266179,1.6411110524915986,253.0185185185185,0.027847923,0.06892737
158000,0.92129016,0.00029529002,0.34784395,1.8923806157850085,1.8923808866224827,264.5238095238095,0.024389025,0.06629748
160000,1.0035869,0.00029523004,0.5484023,2.726332973440488,2.726333252278467,345.96666666666664,0.02399299,0.067625344
162000,0.85467607,0.00029517003,0.6614391,8.19666599854827,8.196666475618258,871.6666666666666,0.023385331,0.070494704
164000,0.9458113,0.00029511002,0.5101314,3.7397723441774193,3.739772626283494,464.3636363636364,0.02581307,0.070074864
166000,0.96110505,0.00029505003,0.31811863,2.1911761754868078,2.1911764028025607,283.88235294117646,0.028912453,0.068967715
168000,0.8732785,0.00029499002,0.40887937,2.428378059251888,2.428378304516947,314.81081081081084,0.036944013,0.06775845
170000,0.7235486,0.00029493,0.59615797,6.662332836786906,6.662333170386652,715.2333333333333,0.030788098,0.06813343
172000,0.65423805,0.00029487003,0.61987233,3.4387801594850496,3.438780394541781,352.8292682926829,0.04632932,0.06828807
174000,0.81398886,0.00029481002,0.6021836,3.626176095184158,3.6261763717869626,389.7352941176471,0.03204133,0.070649736
176000,0.7540628,0.00029475003,0.5734914,5.692120834733501,5.692121072023204,570.3636363636364,0.035679962,0.067027144
178000,0.72521657,0.00029469005,0.5637244,5.681874613277614,5.681874860427342,562.90625,0.033095814,0.06859332
180000,0.7272799,0.00029463,0.49328166,2.913022912518923,2.9130231732892438,317.04651162790697,0.037461016,0.06922873
182000,0.7893661,0.00029457003,0.391421,3.4839021512647954,3.483902339210234,402.1463414634146,0.03208664,0.06868291
184000,0.88156945,0.00029451,0.4008746,3.0395450727506117,3.0395453692075205,344.59090909090907,0.028592132,0.06875255
186000,0.86048865,0.00029445,0.54325897,3.6682349136647057,3.6682351965676334,383.0882352941176,0.033581685,0.06796291
188000,0.67935103,0.00029439002,0.59003603,4.383469088345158,4.383469271910738,469.51020408163265,0.048565768,0.065845326
190000,0.6097779,0.00029433,0.57601917,3.473589445535953,3.4735896530059667,383.3333333333333,0.036282007,0.067467794
192000,0.61153865,0.00029427005,0.43650588,3.67666643822477,3.6766665799631957,402.54761904761904,0.041664235,0.065294825
194000,0.5722489,0.00029421,0.5238073,3.1513950478198915,3.151395268868222,350.09302325581393,0.05094932,0.06941871
196000,0.7680263,0.00029415003,0.4869446,3.086749701201916,3.086749918339774,378.0,0.036417555,0.06752602
198000,0.65882546,0.00029409004,0.6986706,3.7339470002212023,3.7339472767749897,387.0263157894737,0.05461643,0.0683434
200000,0.9529992,0.00029403,0.4519775,2.516666359176823,2.5166665998232713,346.5686274509804,0.043804683,0.06833808
202000,0.995923,0.00029397005,0.29143605,2.7337774170769586,2.7337777039243116,358.9111111111111,0.03369696,0.07079159
204000,0.9661339,0.00029391004,0.3744424,3.0637205929257147,3.0637208483680043,374.90697674418607,0.031559657,0.06892315
206000,1.1165222,0.00029385003,0.40430847,2.9226466995828293,2.9226469786508993,391.1764705882353,0.029126562,0.067923695
208000,0.9478656,0.00029379,0.45896038,3.0694591024437465,3.0694593764539504,364.7837837837838,0.03612033,0.06623378
210000,0.78968596,0.00029373003,0.6084125,1.9022854804992675,1.902285651809403,260.8,0.043317556,0.06849034
212000,0.8560169,0.00029367002,0.677176,7.422962336628525,7.422962787112704,783.074074074074,0.035344776,0.066587284
214000,0.99065137,0.00029361004,0.5050686,2.612173614294633,2.6121738372046663,334.0217391304348,0.036131598,0.0660263
216000,0.85337454,0.00029355002,0.38007975,4.203999608092838,4.203999890718195,478.9555555555556,0.039414108,0.06511275
218000,0.8556315,0.00029349,0.46695927,3.0919509442841133,3.09195113690888,345.1951219512195,0.03198049,0.067888774
220000,0.92227745,0.00029343003,0.42621633,3.3758533596992493,3.375853564771937,420.0243902439024,0.024352707,0.06901737
222000,0.9676431,0.00029337002,0.46407914,2.603720637254937,2.6037208562240353,335.7674418604651,0.02820169,0.0693644
224000,0.77706075,0.00029331003,0.4532203,2.7831108629703523,2.783111033174727,313.15555555555557,0.046895888,0.07096335
226000,0.89475745,0.00029325002,0.34210527,2.098999745249748,2.098999935090542,267.78,0.030023571,0.0665979
228000,0.9393224,0.00029319,0.33931622,3.7273465845049643,3.727346835315836,458.53061224489795,0.030286068,0.07018183
230000,1.0526129,0.00029313,0.4805556,2.8125577700692554,2.8125580626778133,351.30232558139534,0.03294733,0.07264287
232000,0.86816245,0.00029307,0.32191584,2.1769488610453527,2.1769490861728533,288.6271186440678,0.035657,0.071497425
234000,0.7097066,0.00029301003,0.44948754,2.998599728345871,2.998599925413728,316.14,0.14160924,0.06886906
236000,0.7158357,0.00029295005,0.43477452,2.8869996815919876,2.886999926250428,303.775,0.08733319,0.07016907
238000,0.7475374,0.00029289004,0.48946255,5.065142443350383,5.065142732965095,536.5714285714286,0.035836283,0.06747344
240000,0.47358802,0.00029283002,0.5862248,3.5868885695934294,3.5868888044522866,328.31111111111113,0.095813885,0.06847031
