Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.1382327,0.00029990004,7.9799633,2.0937499878928065,2.093749997904524,185.40625,5.953247,0.03102924
4000,1.1041399,0.00029970007,6.01044,7.168888884120517,7.168888887100749,354.4222222222222,1.7171657,0.033676583
6000,1.1244287,0.00029950004,4.8979044,4.063157894109425,4.063157893325153,245.78947368421052,1.2973709,0.033045165
8000,1.143049,0.00029930007,3.631826,3.03375000115484,3.03374999826774,260.9875,0.93893737,0.03406629
10000,1.1389741,0.00029910004,2.4708796,1.8011764645576478,1.801176469027996,181.25882352941176,0.7242066,0.033538245
12000,1.1548166,0.00029890006,1.7902981,1.9850574656464588,1.9850574701853183,173.5977011494253,0.53879815,0.033155125
14000,1.2016263,0.00029870006,1.3746611,2.9638554202504905,2.9638554211481507,204.0722891566265,0.4208884,0.029107003
16000,1.1846335,0.00029850006,1.1976806,3.1708333289457693,3.170833332153658,215.02777777777777,0.36321884,0.03623892
18000,1.1179374,0.0002983001,0.89614946,1.897499994933605,1.897499999217689,176.1375,0.31360123,0.032150485
20000,1.1043636,0.00029810006,0.49555132,3.233333326984143,3.233333332491094,234.02898550724638,0.2674974,0.032534376
22000,1.0535882,0.00029790006,0.6226317,3.498484848123608,3.4984848475591703,228.43939393939394,0.27626768,0.035159964
24000,1.0932715,0.00029770005,1.1216593,5.928813553462594,5.928813558513835,301.864406779661,0.3267354,0.030556936
26000,1.1430151,0.00029750008,1.1859109,7.065853650976972,7.0658536573372235,331.0,0.32329848,0.03337516
28000,1.1622478,0.00029730005,1.0560191,6.994230767855277,6.994230767998558,353.09615384615387,0.26044607,0.03327133
30000,1.0366784,0.00029710008,0.89076734,4.239999997615814,4.239999999512325,257.92727272727274,0.26214975,0.035965215
32000,1.0247978,0.00029690008,1.1410955,5.856862737851984,5.856862744426026,313.5686274509804,0.275889,0.03424576
34000,1.092895,0.00029670005,1.1958652,6.195348836654841,6.195348837001379,329.48837209302326,3.9006734,0.03396185
36000,1.4426726,0.00029650002,1.9436774,10.31851851719397,10.318518518297761,441.7037037037037,6.111746,0.036299814
38000,1.5929881,0.00029630004,2.1433053,80.7294117492788,80.72941176417996,651.3823529411765,5.089077,0.033218358
40000,1.6395819,0.00029610007,1.485631,9.476923074477758,9.476923076770245,413.6666666666667,0.4190064,0.036605507
42000,1.6587524,0.00029590004,1.5085455,9.90263157612399,9.902631578672873,418.8157894736842,0.26581228,0.033947255
44000,1.6212322,0.00029570007,1.3446068,8.826315788846268,8.826315789238402,385.8157894736842,0.25577667,0.031936396
46000,1.5745095,0.00029550004,1.1301454,8.868181816556238,8.868181817572225,387.3181818181818,0.25050578,0.033071265
48000,1.5737766,0.00029530007,1.1752102,8.388095236959911,8.388095237846885,372.0,0.24211662,0.03124612
50000,1.5044543,0.00029510004,1.0715396,7.872093021869659,7.872093022736006,356.2093023255814,0.26116914,0.034295857
52000,1.4105624,0.00029490006,0.97823364,7.00588235317492,7.005882352152291,329.7450980392157,0.25308624,0.03392162
54000,1.4278941,0.00029470003,1.1010071,8.790243903311287,8.790243901857515,386.4634146341463,0.25937775,0.0316508
56000,1.3930461,0.00029450006,1.0470997,8.434883719266848,8.434883720479732,373.6046511627907,0.24564378,0.034002185
58000,1.4544083,0.0002943001,1.1549952,8.276190472500664,8.27619047569377,369.1904761904762,0.2395519,0.033251442
60000,1.3914522,0.00029410006,1.502201,7.640909087928859,7.640909090638161,361.47727272727275,0.29238582,0.03355959
62000,1.373325,0.00029390008,1.3728988,6.734693864170386,6.73469387694281,320.16326530612247,0.3617973,0.03143349
64000,1.4007105,0.00029370005,1.2858667,7.097619042510078,7.097619046944947,337.9761904761905,0.2514811,0.028463008
66000,1.4036341,0.00029350005,1.4472113,10.063414631820306,10.063414634000964,423.780487804878,0.27774233,0.030465493
68000,1.3760762,0.00029330005,1.2457075,7.4319148926024745,7.431914893078043,344.5531914893617,0.23593523,0.032631055
70000,1.3460394,0.00029310005,1.1974796,7.209090903401375,7.209090908481316,349.5,0.25812277,0.034743156
72000,1.3492161,0.00029290005,1.2706054,9.452631577065116,9.45263157863366,427.7368421052632,0.255506,0.031438924
74000,1.3694537,0.00029270005,1.3361816,9.785714284011297,9.785714285501411,416.8,0.24096419,0.034612283
76000,1.3997258,0.00029250007,1.1394076,9.102380952664785,9.1023809521326,405.3809523809524,0.2453452,0.032899726
78000,1.3901318,0.00029230004,1.3850719,8.514999997615813,8.514999999850989,395.475,0.24485594,0.032396596
80000,1.3551456,0.00029210007,1.1842521,6.845454543828964,6.845454545183615,332.8636363636364,0.2910641,0.033742357
82000,1.3367221,0.00029190007,1.05544,6.921153841110376,6.92115384583863,335.25,0.27726308,0.032709174
84000,1.2949224,0.00029170007,1.2518933,6.287499987830718,6.28749999931703,307.2708333333333,0.3197455,0.03170461
86000,1.2991248,0.00029150007,1.1135445,6.679999999205271,6.679999999867546,333.8222222222222,0.28460172,0.03336794
88000,1.2047625,0.00029130006,1.1452395,7.697916666666667,7.697916666511446,365.0625,0.28686127,0.028770164
90000,1.1334021,0.0002911001,0.84503174,4.6606060591611,4.660606060289975,253.1060606060606,0.35342866,0.03163313
92000,1.0158299,0.00029090006,0.6040082,3.845454542022763,3.84545454495784,237.56060606060606,0.3270647,0.033195894
94000,0.9498993,0.0002907001,0.4465774,2.927631575810282,2.927631578261131,207.8421052631579,0.28056493,0.033232924
96000,0.93735904,0.00029050006,0.45097426,4.435483868083646,4.435483870487059,254.29032258064515,0.31606385,0.03132952
98000,0.91837156,0.00029030006,0.67093265,4.006060604796265,4.006060605699366,235.53030303030303,0.30853227,0.0337369
100000,0.92211854,0.00029010003,0.9773397,4.749180324742051,4.7491803273070055,255.86885245901638,0.34173763,0.032184247
102000,0.915163,0.00028990005,0.94932514,4.265151516054615,4.265151514587077,245.22727272727272,0.3443613,0.030104822
