Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
14000,0.7577799,0.00029685014,0.87969923,33.99978678300977,33.999848014325835,6946.0,3.6275103,0.07161009
21000,0.64168066,0.00029475015,1.5922173,36.999936390668154,36.99999182863394,6946.0,2.5006075,0.072651066
28000,0.57461065,0.00029265016,2.1137142,10.99994789622724,10.999993203033227,6946.0,1.8145069,0.069692366
35000,0.53910995,0.00029055018,1.9932488,2.9999786522239447,2.9999961166176945,6946.0,0.111127056,0.067346975
42000,0.19554119,0.00028845016,0.6611751,-10.00000117905438,-10.000000198488124,6946.0,0.008648706,0.07219295
49000,0.09045539,0.00028635017,0.42432758,-1.0000001918524504,-0.9999999892897904,6946.0,0.009430753,0.06775624
56000,0.008373509,0.00028425016,0.2734065,-1.0000001918524504,-0.9999999892897904,6946.0,0.008435102,0.062724285
63000,0.009274813,0.00028215017,0.14916252,-1.0000001918524504,-0.9999999892897904,6946.0,0.004089057,0.06633264
70000,0.0057209143,0.00028005018,0.053060856,-1.0000001918524504,-0.9999999892897904,6946.0,0.0037651693,0.06571963
77000,0.037461914,0.00027795017,0.05085243,-1.0000001918524504,-0.9999999892897904,6946.0,0.0017968499,0.06641492
84000,0.011989207,0.00027585015,0.059884068,-1.0000001918524504,-0.9999999892897904,6946.0,0.0021024265,0.06906059
91000,0.0023657745,0.00027375016,0.059274893,-1.0000001918524504,-0.9999999892897904,6946.0,0.02383083,0.07094482
98000,0.0021162182,0.00027165018,-0.14025639,-1.0000001918524504,-0.9999999892897904,6946.0,0.12841497,0.07352551
105000,0.0015177212,0.00026955016,-0.115173005,-1.0000001918524504,-0.9999999892897904,6946.0,0.021060474,0.06700467
112000,0.001921594,0.00026745017,-0.13100065,-1.0000001918524504,-0.9999999892897904,6946.0,0.17661299,0.075339295
119000,0.006146731,0.00026535016,-0.20334269,-1.0000001918524504,-0.9999999892897904,6946.0,0.006658926,0.06704716
126000,0.006301835,0.00026325017,-0.5848643,-1.0000001918524504,-0.9999999892897904,6946.0,0.18069604,0.075381204
133000,0.0007157214,0.00026115018,-0.3278063,-1.0000001918524504,-0.9999999892897904,6946.0,0.016631143,0.069369026
140000,0.0012376916,0.00025905017,-0.12087474,-1.0000001918524504,-0.9999999892897904,6946.0,0.08537368,0.066084094
