Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,0.78457975,0.000294003,-9.432749,0.9907692074775696,0.9907692164182663,200.75384615384615,5.6349726,0.06863191
4000,0.5943644,0.00028200302,-5.9961896,1.436249801144004,1.436249967291951,222.6375,2.668901,0.071354374
6000,0.75499415,0.00027000302,-2.9215553,2.7596773870529665,2.759677413610681,212.16129032258064,1.0327506,0.07135888
8000,0.9380937,0.000258003,-0.43827337,7.949999989374824,7.949999997635251,359.5652173913044,0.36354512,0.06829309
10000,0.70041347,0.00024600304,0.20026916,7.149019597792158,7.149019605973187,342.3529411764706,0.22852834,0.06622166
12000,0.7461059,0.00023400303,0.6216794,6.851162788479827,6.851162789865982,323.4418604651163,0.23938401,0.071894586
14000,0.8900703,0.00022200304,0.88340896,7.89729729697511,7.89729729697511,349.9189189189189,0.26830214,0.068046
16000,0.8246544,0.00021000305,0.7818722,10.627272725105286,10.627272727137262,439.45454545454544,0.22489765,0.071348965
18000,0.8502088,0.00019800305,0.78905076,5.293478259573812,5.293478260707596,272.19565217391306,0.22037406,0.06954072
20000,0.8996357,0.00018600306,0.64715844,4.469999998807907,4.469999999552965,393.28,0.23504013,0.06868088
22000,1.0130504,0.00017400307,0.81586885,6.137499999254942,6.13749999863406,302.8541666666667,0.25025207,0.06644861
24000,1.1815879,0.00016200307,0.6165526,2.0892473093924986,2.08924731155557,254.03225806451613,0.24097618,0.06545237
26000,1.3506081,0.00015000308,0.3505902,0.680357141154153,0.6803571424846139,135.48214285714286,0.19398445,0.06755224
28000,1.3710346,0.00013800306,0.6751118,2.7333333347782944,2.7333333331978684,231.9090909090909,0.21993081,0.07249415
30000,1.3209035,0.00012600308,0.7377022,3.090624999254942,3.090624999953434,238.859375,0.22707961,0.069465384
32000,1.2570667,0.00011400308,0.89109683,5.941935481563691,5.9419354834864215,370.7741935483871,0.18197925,0.07121844
34000,1.3254151,0.000102003076,1.0630265,9.531999998092651,9.531999999582768,487.8,0.19502544,0.07201187
36000,1.299807,9.000308e-05,1.3512334,17.646666661898294,17.646666666368642,863.4,0.2127171,0.07106293
38000,1.2262883,7.800309e-05,1.7930574,14.989999997615815,14.989999999850989,1509.9,0.25456595,0.06816034
40000,1.1546286,6.600309e-05,1.8609567,44.877777775128685,44.87777777761221,2026.2222222222222,0.16983064,0.067605585
42000,1.0978068,5.400309e-05,2.1600566,27.666666666666668,27.666666666666668,1239.0,0.20118803,0.06759745
44000,1.0379553,4.2003096e-05,2.0052357,40.21111110846201,40.211111110945545,1851.6666666666667,0.1987863,0.070098065
46000,1.003048,3.0003099e-05,1.920497,72.6,72.6,3609.4,0.17224509,0.07113279
48000,1.1975492,1.8003102e-05,1.938944,45.5,45.5,2030.5,0.15264294,0.06973167
50000,1.1512341,6.003106e-06,1.9593565,68.78000001907348,68.77999999970197,3474.2,0.18643934,0.0690399
