Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.7049866,0.00029700148,-0.41852653,1.1051282005814405,1.10512820402017,95.23717948717949,0.25513634,0.07114641
4000,1.6683601,0.00029100152,0.67313653,3.596551711531891,3.5965517227505814,180.45977011494253,0.1543778,0.065407716
6000,1.5789998,0.00028500153,1.0906223,5.106557378026306,5.106557376194195,235.21311475409837,0.16596891,0.07053934
8000,1.5222645,0.00027900154,1.536172,7.903846153846154,7.903846153273032,320.59615384615387,0.18900532,0.07071558
10000,1.4293076,0.00027300153,2.1774044,14.180952375843411,14.180952380100885,539.5238095238095,0.19591935,0.07041624
12000,1.3326731,0.0002670015,2.5204356,27.35,27.34999999925494,1072.7,0.17895819,0.06935904
14000,1.2710825,0.00026100152,2.8931246,44.5,44.5,1578.0,0.18177758,0.06944833
16000,1.2282066,0.00025500153,2.8888702,None,None,None,0.16308056,0.06758082
18000,1.2031052,0.00024900152,1.979755,139.0,139.0,6177.0,0.10776077,0.06920597
20000,1.3070208,0.00024300153,1.7952739,145.2,145.2,7938.0,0.121818006,0.07027552
22000,1.27774,0.00023700154,2.0942743,109.0,109.0,5329.0,0.14788629,0.06991052
24000,1.2562624,0.00023100156,2.0897315,109.0,109.0,4641.0,0.14756612,0.07148298
26000,1.2875603,0.00022500154,1.915733,142.0,142.0,7185.0,0.13831286,0.06970612
28000,1.2367938,0.00021900155,1.893084,149.0,149.0,7938.0,0.121162996,0.06755162
30000,1.2686228,0.00021300155,1.7914951,142.4,142.4,7577.4,0.12257431,0.067141995
32000,1.295416,0.00020700155,2.040359,None,None,None,0.14939937,0.06855021
34000,1.2320017,0.00020100156,1.9756482,143.0,143.0,7096.333333333333,0.13305894,0.06837519
36000,1.2341872,0.00019500156,1.9752034,152.0,152.0,7938.0,0.14201523,0.07070168
38000,1.2323899,0.00018900156,1.813875,149.0,149.0,7938.0,0.11887621,0.06982693
40000,1.2606101,0.00018300157,1.769157,None,None,None,0.13625911,0.06695934
42000,1.2749294,0.00017700157,1.7206396,148.0,148.0,7938.0,0.11338852,0.06881802
44000,1.268118,0.00017100156,1.8840878,138.0,138.0,7938.0,0.12436582,0.0672917
46000,1.3231231,0.00016500158,1.5673429,150.25,150.25,7938.0,0.12707928,0.06933544
48000,1.304295,0.00015900156,1.7621639,None,None,None,0.14256458,0.0719533
50000,1.2267944,0.00015300157,1.674935,153.0,153.0,7938.0,0.12369187,0.06673445
52000,1.2265534,0.00014700157,1.7849576,149.0,149.0,7938.0,0.13777463,0.06859185
54000,1.2275954,0.00014100157,1.6118666,142.25,142.25,7938.0,0.1167012,0.0666652
56000,1.2447214,0.00013500158,1.6822666,None,None,None,0.13405536,0.072084546
58000,1.196823,0.00012900158,1.6948128,148.66666666666666,148.66666666666666,7938.0,0.12652875,0.06969
60000,1.2007847,0.00012300158,1.7532007,147.0,147.0,7938.0,0.124461174,0.0714901
62000,1.1916398,0.000117001575,1.5451086,146.0,146.0,7938.0,0.11408166,0.07032258
64000,1.1651217,0.00011100158,1.7092354,None,None,None,0.14593759,0.06819706
66000,1.170997,0.000105001585,1.7209687,147.0,147.0,7938.0,0.11956221,0.06851069
68000,1.1823094,9.900158e-05,1.8199087,95.0,95.0,4521.666666666667,0.12190568,0.06853272
70000,1.1541494,9.300158e-05,1.8633748,147.0,147.0,7938.0,0.118291155,0.072236046
72000,1.151552,8.7001594e-05,1.8578075,62.0,62.0,2144.0,0.13352643,0.066703364
74000,1.087116,8.1001584e-05,1.6813577,112.75,112.75,5978.5,0.13346207,0.06870915
76000,1.101684,7.500159e-05,1.8467524,93.0,93.0,4564.8,0.15890767,0.06697745
78000,1.1100745,6.9001595e-05,1.9044155,144.0,144.0,7938.0,0.13282493,0.067701355
80000,1.0369445,6.3001586e-05,1.7963338,125.5,125.5,6169.0,0.12450142,0.06767503
82000,1.0045775,5.700159e-05,1.7074479,118.66666666666667,118.66666666666667,6097.333333333333,0.14562757,0.0657407
84000,1.0681571,5.100159e-05,1.7505213,116.5,116.5,6194.0,0.12104558,0.06724909
86000,0.9665348,4.5001594e-05,1.9402674,123.5,123.5,5944.5,0.1449685,0.07086506
88000,0.9624998,3.9001596e-05,1.8438097,151.0,151.0,7938.0,0.14399624,0.068532035
90000,0.9236674,3.3001597e-05,1.7302322,146.0,146.0,7938.0,0.11715316,0.065045245
92000,0.95550746,2.70016e-05,1.7573124,138.0,138.0,7095.0,0.11984067,0.066361085
94000,0.9707005,2.1001604e-05,1.8749046,87.8,87.8,4272.2,0.13996787,0.070473
96000,0.9848749,1.5001603e-05,1.9267147,None,None,None,0.1454124,0.067390345
98000,0.9934455,9.001606e-06,1.8190938,147.0,147.0,7938.0,0.12690666,0.07052229
100000,0.95648986,3.0016067e-06,1.6696229,139.0,139.0,7938.0,0.12219034,0.07025481
