Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
6000,1.707742,0.00026700302,-16.231388,26.99981074873358,26.99980140796106,4922.0
7000,1.684289,0.000261003,-15.892424,None,None,None
8000,1.6726792,0.00025500305,-15.878768,None,None,None
9000,1.6746947,0.00024900303,-15.860975,None,None,None
10000,1.6603727,0.00024300304,-15.747358,None,None,None
11000,1.7244091,0.00023700304,-15.104428,8.000002094660886,8.000000785497832,4922.0
12000,1.7249842,0.00023100304,-14.542443,None,None,None
13000,1.7079616,0.00022500305,-15.176797,None,None,None
14000,1.6957868,0.00021900305,-14.4317,None,None,None
15000,1.7061508,0.00021300303,-14.38785,None,None,None
16000,1.7034581,0.00020700306,-15.956236,20.000010353629477,20.000001296240953,4922.0
17000,1.6953067,0.00020100304,-15.938607,None,None,None
18000,1.6651478,0.00019500304,-15.863682,None,None,None
19000,1.6638703,0.00018900307,-15.762663,None,None,None
20000,1.6736277,0.00018300307,-15.745014,None,None,None
21000,1.7218763,0.00017700305,-15.210182,-9.999997161212377,-9.999999697407475,4922.0
22000,1.7257886,0.00017100308,-14.636949,None,None,None
23000,1.6805437,0.00016500306,-14.219602,None,None,None
24000,1.6857015,0.00015900306,-14.581942,None,None,None
25000,1.6936573,0.00015300307,-14.625698,None,None,None
26000,1.7325335,0.00014700307,-14.533234,7.0000073733972386,7.000000633808668,4922.0
27000,1.7289985,0.00014100307,-14.48024,None,None,None
28000,1.7051802,0.00013500307,-14.496525,None,None,None
29000,1.6998416,0.00012900308,-13.986035,None,None,None
30000,1.6952586,0.00012300308,-14.1504545,None,None,None
31000,1.7331548,0.000117003074,-14.515785,16.000006956164725,16.000001183099812,4922.0
32000,1.7324696,0.00011100308,-13.488347,None,None,None
33000,1.6999449,0.000105003084,-13.299931,None,None,None
34000,1.7173035,9.9003075e-05,-13.413764,None,None,None
35000,1.7281016,9.300308e-05,-14.018431,None,None,None
36000,1.7486541,8.700309e-05,-14.320088,54.00000735663343,54.00000242194801,4922.0
37000,1.7467217,8.100308e-05,-14.209189,None,None,None
38000,1.737501,7.500309e-05,-14.013013,None,None,None
39000,1.72445,6.9003094e-05,-13.9994545,None,None,None
40000,1.7183156,6.300309e-05,-13.3797245,None,None,None
41000,1.7446865,5.700309e-05,-14.34597,21.0000123513164,21.000001666718163,4922.0
42000,1.758707,5.100309e-05,-14.042385,None,None,None
43000,1.7278662,4.5003093e-05,-13.563946,None,None,None
44000,1.7398486,3.90031e-05,-13.826267,None,None,None
45000,1.7260897,3.30031e-05,-13.605138,None,None,None
46000,1.761794,2.7003098e-05,-13.815866,-11.999996679718606,-11.999999611391104,4922.0
47000,1.7621621,2.1003103e-05,-14.239273,None,None,None
48000,1.7335598,1.5003103e-05,-13.586003,None,None,None
49000,1.7215222,9.003104e-06,-13.106571,None,None,None
50000,1.7382579,3.003107e-06,-13.487974,None,None,None
