Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.7877842,0.00029100303,0.6913096,0.4990000599063933,0.4990001744008623,985.0,0.032575883,0.028232098
3000,1.783228,0.000285003,0.65690875,0.500000168569386,0.5000001849839464,985.0,0.022901703,0.024280258
4000,1.7775205,0.00027900303,0.56792724,0.4999999711290002,0.5000000950240064,985.0,0.026110185,0.021513604
5000,1.7618597,0.00027300304,0.50648767,0.8750000391155481,0.8750001477310434,985.0,None,None
6000,1.7527533,0.00026700302,0.4405018,-0.12499993201345205,-0.12499987517367117,985.0,0.02803856,0.020973863
7000,1.7470793,0.000261003,0.40278503,2.2500000428408384,2.2500001679873094,985.0,0.016409134,0.022436636
8000,1.727957,0.00025500305,0.40810713,0.7500001052394509,0.7500001493317541,985.0,0.017545206,0.021411948
9000,1.7178487,0.00024900303,0.34701365,0.7500001071020961,0.7500001434818842,985.0,None,None
10000,1.6811943,0.00024300304,0.3228654,1.3750001434236765,1.3750001871376298,985.0,0.019171523,0.028785862
11000,1.63977,0.00023700304,0.3102127,1.3750000949949026,1.3750001823354978,985.0,0.03300868,0.029751303
12000,1.6082854,0.00023100304,0.31581995,2.2500000279396772,2.2500001397856977,985.0,0.017846894,0.020999173
13000,1.5665267,0.00022500305,0.30344674,1.000000098720193,1.000000159983756,985.0,None,None
14000,1.5990913,0.00021900305,0.2764756,1.8750001229345798,1.8750001456355676,985.0,0.032577053,0.023036893
15000,1.5769849,0.00021300303,0.2702389,1.2499999217689037,1.250000059924787,985.0,0.03300061,0.019866535
16000,1.5560762,0.00020700306,0.25308046,2.1249998081475496,2.1250000663276296,985.0,0.027872996,0.018878402
17000,1.6001444,0.00020100304,0.26136503,1.7500001918524504,1.750000212690793,985.0,None,None
18000,1.6078941,0.00019500304,0.27052414,0.8750000335276127,0.8750001360313036,985.0,0.021181153,0.020831142
19000,1.5873711,0.00018900307,0.22905704,2.8750001126900315,2.875000179192284,985.0,0.03323757,0.028112542
20000,1.5845044,0.00018300307,0.23198059,1.3750000903382897,1.3750001855369192,985.0,0.01949498,0.02059446
21000,1.5938814,0.00017700305,0.24852902,1.250000037252903,1.250000139232725,985.0,None,None
22000,1.5503907,0.00017100308,0.25351396,1.875000081025064,1.8750001887383405,985.0,0.02626124,0.016716696
23000,1.5200926,0.00016500306,0.23707095,2.5000000167638063,2.500000111584086,985.0,0.03380544,0.023717843
24000,1.4517648,0.00015900306,0.23333591,2.7500003343448043,2.7500003356544767,985.0,0.027642803,0.023316454
25000,1.4416848,0.00015300307,0.24510728,1.2500000968575478,1.2500001615844667,985.0,0.033930767,0.02356592
26000,1.4757639,0.00014700307,0.26411617,2.1250000344589353,2.1250002052402124,985.0,None,None
27000,1.4228365,0.00014100307,0.24184924,2.7499998128041625,2.7500001248845365,985.0,0.040927716,0.02659435
28000,1.4662254,0.00013500307,0.2596663,2.124999998137355,2.125000154686859,985.0,0.058157936,0.02540568
29000,1.4991299,0.00012900308,0.29035434,3.8750001173466444,3.875000269152224,985.0,0.03621557,0.024520885
30000,1.4672505,0.00012300308,0.2985627,2.875000050291419,2.875000116386218,985.0,None,None
31000,1.5081291,0.000117003074,0.30467105,3.500000124797225,3.5000001616426744,985.0,0.047211673,0.025512744
32000,1.4653894,0.00011100308,0.30299276,3.6250000298023224,3.6250001541920938,985.0,0.035709724,0.022858689
33000,1.4847342,0.000105003084,0.29954666,2.625000043772161,2.6250001445878297,985.0,0.03266051,0.029539445
34000,1.4343879,9.9003075e-05,0.29250792,2.0000001387670636,2.0000001844891813,985.0,None,None
35000,1.464372,9.300308e-05,0.27822852,3.2500000335276127,3.25000013288809,985.0,0.04495996,0.02828135
36000,1.4026049,8.700309e-05,0.30274373,2.74999990593642,2.750000090833055,985.0,0.034808178,0.021045703
37000,1.4559165,8.100308e-05,0.2944641,2.750000135973096,2.7500001983426046,985.0,0.03340186,0.022780621
38000,1.4573386,7.500309e-05,0.29625627,2.625000227242708,2.6250002371962182,985.0,None,None
39000,1.4977487,6.9003094e-05,0.29747,3.375000131316483,3.375000189844286,985.0,0.03878522,0.023539044
40000,1.4862336,6.300309e-05,0.2811165,3.8750001499429345,3.875000188796548,985.0,0.040939465,0.02253016
41000,1.5418236,5.700309e-05,0.30149758,2.249999901279807,2.250000086030923,985.0,0.05075679,0.022083668
42000,1.5203669,5.100309e-05,0.32641596,4.875000023283064,4.875000166997779,985.0,None,None
43000,1.5175627,4.5003093e-05,0.28882307,4.125000202096999,4.1250002026499715,985.0,0.04321959,0.027393276
44000,1.510334,3.90031e-05,0.327425,3.999999962747097,4.000000173342414,985.0,0.05510681,0.02649381
45000,1.4624709,3.30031e-05,0.33335608,3.375000291503966,3.375000231899321,985.0,0.041086562,0.027440963
46000,1.5280513,2.7003098e-05,0.32043147,3.0000002225860953,3.000000264350092,985.0,None,None
47000,1.4720333,2.1003103e-05,0.32298073,3.6250000055879354,3.625000106287189,985.0,0.048789598,0.023353579
48000,1.4888159,1.5003103e-05,0.3229039,3.7500001322478056,3.7500002244487405,985.0,0.051771004,0.01972175
49000,1.4680718,9.003104e-06,0.34635675,3.875,3.875000136089511,985.0,0.051382564,0.021414394
50000,1.4789126,3.003107e-06,0.33469343,3.8750002020969987,3.875000257452484,985.0,0.043995164,0.022491379
